company name,industry,registered,scale
A2U速递,None,0,None
AAE快递,None,0,None
安能物流,道路运输业,"1,000万(元)",普通货运；货运代理；大型货物运输；仓储服务（不含危险化学品及易制毒化学品）；货物配载；搬运装卸；运输信息服务；进出口业务；运输货物打包服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
安迅物流,装卸搬运和仓储业,"10,000万(元)",普通货运（道路运输经营许可证有效期至2021年05月14日）；国内快递（邮政企业专营业务除外）（快递业务经营许可证有效期至2021年05月10日）；专业承包；仓储保管；道路货运代理；装卸服务；经济贸易咨询；技术推广；配送服务；分批包装；航空国际货物运输代理；销售（不含零售）日用杂货、电子产品、工艺品（不含文物）、化妆品、机械设备、家用电器、建筑材料、五金交电、装饰材料、针纺织品、服装鞋帽、厨房用具、卫生用品、计算机软件及辅助设备、家具、宠物用品、文化用品、办公设备、体育用品（不含弩）、化工产品（不含危险化学品）、玩具、乐器、箱包、钟表、珠宝首饰、小饰品、避孕套、避孕帽、橡胶制品、通讯设备；安装及维修家用电器；租赁爬楼专用设备。（领取本执照后，应到市商务委备案。企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本区产业政策禁止和限制类项目的经营活动。）
澳邮中国快运,None,0,None
安鲜达,科技推广和应用服务业,"12,233万(元)",物流技术开发；供应链管理，国际货物运输代理，仓储服务（除危险化学品）；信息科技的开发，转让自研成果；会务服务（主办、承办除外）、商务信息咨询；国内货运代理；食用农产品（粮食除外）、食品流通、花卉苗木、工艺礼品（文物除外）、办公用品、服装、日用杂货、家用电器、五金家电的销售、网上零售、进出口、佣金代理（拍卖除外），并提供相关配套服务（不涉及国营贸易管理商品，涉及配额许可证管理商品的，按国家有关规定办理申请），汽车租赁，设备租赁，国内快递，道路货物运输 。 【依法须经批准的项目，经相关部门批准后方可开展经营活动】
安捷物流,装卸搬运和仓储业,"2,000万(元)",普通货运；无车承运业务，无船承运业务；循环周转器具、包装材料、物流设备、机器人、汽车零部件、新能源结构包装及部件研发、设计、制造、租赁服务；供应链管理服务，仓储服务（不含危险品）；货运信息咨询，物业管理；汽车租赁；日用百货、家用电器、服装鞋帽、装饰材料、通讯器材（不含无线电发射设备）、办公用品的销售；物流托盘、包装箱生产销售；劳务外包；钢材、金属材料、建材（不含油漆）的销售；软件开发、技术开发、技术咨询、技术推广、计算机系统集成服务；仓储租赁；国际货运代理；供应链管理服务；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）；大件货物运输；增值电信业务。（涉及许可经营项目，应取得相关部门许可后方可经营）
ANTS EXPRESS,None,0,None
安世通快递,邮政业,"5,000万(元)",快递服务；国际货运代理；国内货运代理；机械设备仓储服务；其他仓储业（不含需经许可审批的项目）；经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外；互联网销售；工艺美术品及收藏品零售（不含文物）；首饰、工艺品及收藏品批发(不含文物)；其他互联网服务（不含需经许可审批的项目）；软件开发；信息系统集成服务；信息技术咨询服务。
澳世速递,零售业,"52,001.3万(元)",批发：中药材（收购）、中药饮片、中成药、化学药制剂、抗生素原料药、抗生素制剂、生化药品、生物制品（除疫苗）、蛋白同化制剂、肽类激素（胰岛素），五金产品、电子产品；零售（连锁）：中药饮片，中成药，化学药制剂，抗生素制剂，生化药品，生物制品（除疫苗）；保健食品连锁经营；食品经营管理；批发兼零售：特殊食品（保健食品、特殊医学用途配方食品、婴幼儿配方乳粉、其他婴幼儿配方食品），预包装食品，散装食品；普通货运；呼叫中心业务、信息服务业务（仅限互联网信息服务和移动网信息服务业务）；销售（含网上销售）：医疗器械，眼镜，福利彩票，充值卡，农副产品，化妆品，日用百货，消毒用品，个人护理用品，家居护理用品，文具用品，普通机械，五金、交电，计算机，家用电器，电子产品，健身器材，饰物，食品添加剂，宠物用品，纺织品及针织品，服装，家庭用品，花卉，通信设备，矿产品，建材，化工产品；票务服务；仓储，冷库服务，人力资源服务；会议、展览服务；企业管理咨询，经济信息咨询；母婴保健；家政、职业中介服务；生物技术开发；眼镜加工。下列项目由分支机构经营：门诊部（所），验光配镜服务，零售处方药、非处方药；商贸信息咨询，商品推广宣传，营销策划；项目投资；货物进出口；设计、制作、代理、发布各类广告；代收水电费；房屋及柜台租赁服务及其相关业务策划；贸易经纪与代理；项目投资管理；组织文化艺术交流活动；包装、仓储、装卸搬运，运输代理；机械设备租赁；电子产品、日用品维修；技术进出口；中药材种植；养老院、医院、康复中心管理服务；健康管理咨询；以特许经营方式从事商业活动；品牌策划咨询；冷藏车道路运输。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
